2023-01-13 17:45:28: -- Analysis Started by User Command
2023-01-13 17:45:30: /.git/objects/pack/pack-430cf78841b66ece884e14aff824aeb44fe6bd9c.pack: Conflict: New files that differ
2023-01-13 17:45:30: /.git/ORIG_HEAD: Conflict: New files that differ
2023-01-13 17:45:30: /.git/refs/heads/master: Conflict: New files that differ
2023-01-13 17:45:30: /.git/refs/remotes/origin/gh-pages: Conflict: New files that differ
2023-01-13 17:45:30: /.git/refs/remotes/origin/master: Conflict: New files that differ
2023-01-13 17:45:30: /.github/workflows/book.yml: Conflict: New files that differ
2023-01-13 17:45:30: /.gitignore: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/environment.pickle: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/glue_cache.json: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/how/how_top.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/intro/intro_geogebra.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/intro/intro_top.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/micro/01_Constrained_Optimization.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/CRSTechnology.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/HOS.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/Protection_top.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/Ricardian_top.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/Ricardian_Trade.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/SFM.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/SFM_top.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/Tariff_in_general_equilibrium.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/notebooks/trade/TariffPartial.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.doctrees/README.doctree: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.jupyter_cache/executed/161ebd4beb7a1e84aa54878a75368c95/base.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.jupyter_cache/executed/b478380638d36ff614114811cb2bcb0a/base.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.jupyter_cache/executed/fa3f27bea9ca2503b36f75ac3510c124/base.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/.jupyter_cache/global.db: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/.buildinfo: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/01_Constrained_Optimization_10_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/01_Constrained_Optimization_14_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/01_Constrained_Optimization_8_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_10_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_12_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_27_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_32_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_33_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_35_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_36_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_37_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_38_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/HOS_8_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_20_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_29_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_43_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_45_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_48_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Ricardian_Trade_57_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/SFM_28_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/SFM_30_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/SFM_33_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_11_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_13_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_14_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_18_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_6_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/Tariff_in_general_equilibrium_8_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_images/TariffPartial_3_0.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_panels_static/panels-main.c949a650a448cc0ae9fd3441c0e17fb0.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_panels_static/panels-variables.06eb56fa6e07937060861dad626602ad.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/how/how_top.md: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/intro/intro_geogebra.md: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/micro/01_Constrained_Optimization.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/CRSTechnology.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/HOS.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/Ricardian_Trade.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/SFM.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/Tariff_in_general_equilibrium.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/notebooks/trade/TariffPartial.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_sources/README.md: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/__pycache__/__init__.cpython-37.pyc: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/basic.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/copy-button.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/copybutton.js: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/documentation_options.js: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/language_data.js: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/logo.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/panels-main.c949a650a448cc0ae9fd3441c0e17fb0.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/panels-variables.06eb56fa6e07937060861dad626602ad.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/pygments.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/_static/togglebutton.css: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/genindex.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/index.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/how/how_top.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/intro/intro_geogebra.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/micro/01_Constrained_Optimization.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/CRSTechnology.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/HOS.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/Ricardian_Trade.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/SFM.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/Tariff_in_general_equilibrium.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/notebooks/trade/TariffPartial.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/objects.inv: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/README.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/search.html: Conflict: New files that differ
2023-01-13 17:45:30: /_build/html/searchindex.js: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/micro/01_Constrained_Optimization.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/micro/01_Constrained_Optimization.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/micro/01_Constrained_Optimization_10_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/micro/01_Constrained_Optimization_14_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/micro/01_Constrained_Optimization_8_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_14_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_16_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_16_1.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_19_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_5_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_6_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_6_1.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_9_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/CRSTechnology_9_0.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_10_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_12_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_27_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_32_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_33_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_35_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_36_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_37_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_38_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_41_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_43_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/HOS_8_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_20_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_29_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_43_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_45_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_48_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Ricardian_Trade_57_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM_17_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM_28_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM_30_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/SFM_33_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_11_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_13_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_14_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_18_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_6_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/Tariff_in_general_equilibrium_8_1.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/TariffPartial.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/TariffPartial.py: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/TariffPartial_3_0.png: Conflict: New files that differ
2023-01-13 17:45:30: /_build/jupyter_execute/notebooks/trade/TariffPartial_3_0.svg: Conflict: New files that differ
2023-01-13 17:45:30: /_config.yml: Conflict: New files that differ
2023-01-13 17:45:30: /_toc.yml: Conflict: New files that differ
2023-01-13 17:45:30: /LICENSE: Conflict: New files that differ
2023-01-13 17:45:30: /logo.png: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/how/how_top.md: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/intro/cd.py: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/intro/intro_geogebra.md: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/intro/Linear_demand_supply.slides.html: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/.ipynb_checkpoints/01_Constrained_Optimization-checkpoint.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/.ipynb_checkpoints/Open_access-checkpoint.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/01_Constrained_Optimization.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/images/Assurance.PNG: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/images/fishing.PNG: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/images/fishing_PDgame2.PNG: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/isoprofit_demand.ipynb: Conflict: New files that differ
2023-01-13 17:45:30: /notebooks/micro/Open_access.ipynb: Conflict: New files that differ
